Node_A,Node_B,
SM1607   ,SM1587   ,
SM1607   ,SM1322   ,
SM1607   ,SM1364   ,
SM1652   ,SM1364   ,
SM1251   ,SM1262   ,
SM1251   ,SM1249   ,
SM1249   ,SM1262   ,
SM1262   ,SM1277   ,
SM1262   ,SM1275   ,
SM1275   ,SM1277   ,
SM1275   ,SM1289   ,
SM353    ,SM348    ,
SM348    ,SM341    ,
SM348    ,SM347    ,
SM347    ,SM340    ,
SM340    ,SM341    ,
SM335    ,SM341    ,
SM335    ,SM328    ,
SM328    ,SM321    ,
SM321    ,SM315    ,
SM315    ,SM309    ,
SM309    ,SM302    ,
SM302    ,SM294    ,
SM302    ,SM301    ,
SM301    ,SM293    ,
SM286    ,SM293    ,
SM286    ,SM288    ,
SM280    ,SM288    ,
SM1556   ,SM1506   ,
SM1556   ,SM1508   ,
SM1556   ,SM1557   ,
SM1556   ,SM1584   ,
SM1584   ,SM1587   ,
SM1584   ,SM1606   ,
SM1606   ,SM1587   ,
SM1587   ,SM1557   ,
SM1557   ,SM1508   ,
SM1606   ,SM1629   ,
SM1606   ,SM1628   ,
SM1434   ,SM1447   ,
SM1434   ,SM1432   ,
SM1434   ,SM1417   ,
SM1417   ,SM1415   ,
SM1415   ,SM1432   ,
SM1432   ,SM1445   ,
SM294    ,SM288    ,
SM294    ,SM293    ,
SM1506   ,SM1473   ,
SM1506   ,SM1508   ,
SM1508   ,SM1474   ,
SM1474   ,SM1473   ,
SM1474   ,SM1447   ,
SM1447   ,SM1473   ,
SM1447   ,SM1445   ,
SM1445   ,SM1473   ,
SM1415   ,SM1399   ,
SM1399   ,SM1380   ,
SM1399   ,SM1381   ,
SM1381   ,SM1380   ,
SM1381   ,SM1364   ,
SM1364   ,SM1362   ,
SM1364   ,SM1346   ,
SM1364   ,SM1322   ,
SM1277   ,SM1322   ,
SM1277   ,SM1289   ,
SM1289   ,SM1307   ,
SM1289   ,SM1305   ,
SM1319   ,SM1305   ,
SM1319   ,SM1307   ,
SM1319   ,SM1322   ,
SM1319   ,SM1345   ,
SM1345   ,SM1346   ,
SM1345   ,SM1362   ,
SM1362   ,SM1346   ,
SM1346   ,SM1322   ,
SM1322   ,SM1307   ,
SM1291   ,SM1307   ,
SM1291   ,SM1289   ,
SM1291   ,SM1277   ,
